time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz
0.16,5.521,2.562,3.838,0.0,0.0,0.0,0.0248,0.0761,1.0015,19.93,1.32,2.18,0.2059,-0.0255,0.9872,-6.18,0.62,234.39
0.17,5.79,2.633,3.887,0.0,0.0,0.0,0.038,0.0891,0.9991,19.05,-0.87,0.19,0.2666,-0.025,0.9559,-5.6,-0.73,228.34
0.18,6.046,2.698,3.928,0.0,0.0,0.0,0.0258,0.0812,0.9993,18.88,0.63,-0.15,0.2774,-0.0324,0.9674,-5.31,0.64,219.02
0.19,6.288,2.758,3.959,0.0,0.0,0.0,0.0208,0.1139,0.9818,16.88,-0.28,0.96,0.3069,-0.0329,0.9391,-3.09,0.21,208.66
0.2,6.517,2.811,3.982,0.0,0.0,0.0,0.0496,0.0832,1.0053,12.86,-0.16,0.25,0.369,-0.0257,0.937,-5.26,-0.6,200.94
0.21,6.73,2.858,3.995,0.0,0.0,0.0,0.0326,0.1005,1.0063,12.78,-0.18,0.4,0.3667,-0.0198,0.9156,-3.79,0.53,190.14
0.22,6.928,2.898,4.0,0.0,0.0,0.0,0.0356,0.1058,0.9921,8.61,-0.85,2.49,0.4166,-0.0359,0.9096,-4.75,0.55,177.45
0.23,7.111,2.931,3.995,0.0,0.0,0.0,0.0207,0.1052,0.9938,8.75,-0.01,-0.28,0.4766,-0.0391,0.9038,-2.24,1.16,163.35
0.24,7.277,2.958,3.982,0.0,0.0,0.0,0.0295,0.1006,0.9788,8.7,-0.06,-0.32,0.4696,-0.0247,0.8701,-3.16,0.97,150.68
0.25,7.427,2.979,3.959,0.0,0.0,0.0,0.036,0.1022,0.9992,3.93,0.24,0.12,0.4804,-0.0314,0.8636,-1.74,0.49,138.42
0.26,7.56,2.992,3.928,0.0,0.0,0.0,0.0234,0.1046,0.9997,2.1,0.08,1.07,0.5103,-0.023,0.8611,-1.25,-1.13,119.78
0.27,7.676,2.999,3.887,0.0,0.0,0.0,0.0387,0.103,0.9933,1.74,0.8,-1.51,0.527,-0.0405,0.8731,-0.01,2.45,102.41
0.28,7.774,2.999,3.838,0.0,0.0,0.0,0.0289,0.1141,1.0052,-2.52,0.92,-1.97,0.5432,-0.0492,0.8316,-0.26,-1.4,86.67
0.29,7.855,2.992,3.78,0.0,0.0,0.0,0.032,0.1263,0.9906,-3.56,-1.05,-0.59,0.5598,-0.0366,0.8531,0.28,0.95,70.97
0.3,7.919,2.979,3.713,0.0,0.0,0.0,0.0289,0.0979,0.9997,-4.28,0.87,-1.63,0.5517,-0.0388,0.8467,2.9,0.43,51.47
0.31,7.964,2.958,3.639,0.0,0.0,0.0,0.0534,0.0888,0.9839,-7.44,-1.19,-0.42,0.5853,-0.0316,0.8213,2.33,-1.17,35.7
0.32,7.991,2.931,3.555,0.0,0.0,0.0,0.0348,0.1002,0.994,-8.94,0.59,0.5,0.5748,-0.0367,0.8167,2.05,-0.12,18.19
0.33,8.0,2.898,3.464,0.0,0.0,0.0,0.0243,0.1252,0.9927,-9.84,0.62,-0.89,0.5808,-0.0225,0.8119,2.92,-0.08,1.54
0.34,7.991,2.858,3.365,0.0,0.0,0.0,0.0431,0.0894,0.9969,-12.01,-1.91,-1.43,0.566,-0.0322,0.819,5.37,1.31,-16.5
0.35,7.964,2.811,3.258,0.0,0.0,0.0,0.0227,0.1115,0.9912,-13.96,0.09,0.07,0.5813,-0.0271,0.8083,4.03,-0.71,-34.67
0.36,7.919,2.758,3.144,0.0,0.0,0.0,0.037,0.1093,0.9938,-16.32,-0.47,0.86,0.5595,-0.0262,0.826,4.11,-0.26,-55.24
0.37,7.855,2.698,3.023,0.0,0.0,0.0,0.0153,0.084,1.0036,-17.32,-0.76,-1.69,0.5559,-0.025,0.8478,4.62,-2.34,-69.42
0.38,7.774,2.633,2.895,0.0,0.0,0.0,0.0216,0.092,0.9913,-19.46,1.35,0.82,0.5323,-0.0262,0.8342,5.25,1.73,-86.55
0.39,7.676,2.562,2.76,0.0,0.0,0.0,0.0369,0.0991,0.9799,-20.46,-0.65,0.82,0.5175,-0.0198,0.8469,5.68,-1.07,-103.47
0.4,7.56,2.484,2.619,0.0,0.0,0.0,0.0423,0.0753,1.0138,-22.93,-0.81,0.95,0.5177,-0.0317,0.8424,5.45,0.33,-121.39
0.41,7.427,2.402,2.473,0.0,0.0,0.0,0.0366,0.073,1.0104,-24.05,0.08,1.22,0.4871,-0.0085,0.8744,6.04,-0.1,-135.77
0.42,7.277,2.313,2.32,0.0,0.0,0.0,0.0337,0.0649,0.984,-26.23,0.69,2.2,0.4612,-0.0236,0.8852,6.74,-0.1,-150.8
0.43,7.111,2.22,2.163,0.0,0.0,0.0,0.0319,0.0561,1.0041,-26.55,-0.14,-0.36,0.439,-0.033,0.8958,8.55,0.81,-165.53
0.44,6.928,2.121,2.0,0.0,0.0,0.0,0.0201,0.055,0.9925,-28.52,1.17,0.11,0.4256,-0.0166,0.9058,7.93,1.67,-176.56
0.45,6.73,2.018,1.833,0.0,0.0,0.19,0.0277,0.0443,1.0004,-29.93,0.53,-0.42,0.3832,-0.0255,0.918,8.44,0.25,-189.5
0.46,6.517,1.91,1.662,0.0,0.0,0.38,0.0303,0.0518,1.001,-29.57,-2.18,0.0,0.3568,-0.0088,0.9386,10.22,0.66,-197.26
0.47,6.288,1.798,1.487,0.0,0.0,0.569,0.0455,0.0385,0.996,-30.53,-0.53,1.53,0.3244,0.0082,0.9456,10.52,0.33,-210.22
0.48,6.046,1.682,1.308,0.0,0.0,0.757,0.0383,0.0431,0.9907,-30.77,-0.56,-1.35,0.2694,-0.0201,0.9605,9.18,1.02,-217.85
0.49,5.79,1.561,1.127,0.0,0.0,0.943,0.0173,0.0196,0.9919,-32.69,0.48,-0.86,0.2363,-0.0072,0.9701,9.05,-0.46,-228.69
0.5,5.521,1.438,0.943,0.0,0.071,1.127,0.0381,0.0328,0.9898,-32.46,-2.62,1.38,0.2152,-0.0264,0.9885,9.0,1.08,-234.47
0.51,5.239,1.311,0.757,0.0,0.214,1.308,0.031,0.0321,0.9908,-32.81,2.55,1.02,0.1639,-0.0026,0.992,10.7,1.11,-239.48
0.52,4.945,1.181,0.569,0.0,0.356,1.487,0.0281,-0.0021,0.9986,-33.31,0.53,-0.36,0.1401,-0.0142,0.9935,9.92,1.08,-244.89
0.53,4.64,1.048,0.38,0.0,0.497,1.662,0.041,0.0157,0.9922,-34.86,0.15,0.85,0.0965,-0.0098,1.0114,9.82,-0.66,-247.57
0.54,4.325,0.913,0.19,0.0,0.638,1.833,0.0452,0.0183,1.0062,-34.05,1.18,0.34,0.0508,-0.0128,1.0033,9.45,-0.17,-149.27
0.55,4.0,0.776,0.0,0.0,0.776,2.0,0.0442,-0.0121,1.0143,-33.89,2.34,1.5,0.0531,0.0073,1.0124,21.49,0.24,-25.08
0.56,3.666,0.638,0.0,0.381,0.913,2.163,0.0265,0.0107,0.9936,-34.19,0.87,0.07,0.0341,0.0161,1.0054,34.52,-1.37,1.86
0.57,3.323,0.497,0.0,0.76,1.048,2.32,0.0318,-0.0077,1.0017,-36.12,0.95,1.03,0.0414,0.0122,0.9809,32.71,1.59,0.38
0.58,2.973,0.356,0.0,1.139,1.181,2.473,0.0382,-0.0249,1.0042,-33.59,0.13,2.64,0.0291,0.0092,1.0123,34.75,-0.01,0.48
0.59,2.617,0.214,0.0,1.514,1.311,2.619,0.0447,-0.0243,1.0038,-31.15,-0.14,0.6,0.0594,0.0396,1.0005,32.83,0.28,0.54
0.6,2.254,0.071,0.0,1.886,1.438,2.76,0.0301,-0.0239,0.9997,-33.23,-0.48,0.05,0.0547,0.022,0.9984,32.72,-0.58,0.61
0.61,1.886,0.0,0.0,2.254,1.561,2.895,0.033,-0.0344,1.0062,-32.99,-0.83,0.72,0.035,0.0136,1.0016,30.92,-1.33,-0.08
0.62,1.514,0.0,0.0,2.617,1.682,3.023,0.0238,-0.0354,1.0034,-31.18,-0.69,-0.37,0.0388,0.0453,0.9951,31.54,-0.6,-0.32
0.63,1.139,0.0,0.0,2.973,1.798,3.144,0.0229,-0.0554,0.9859,-30.43,-1.35,2.39,0.0485,0.0351,1.0006,30.41,0.22,0.17
0.64,0.76,0.0,0.0,3.323,1.91,3.258,0.043,-0.0498,1.0068,-28.63,-0.08,0.18,0.0334,0.0614,0.9921,29.78,0.67,1.16
0.65,0.381,0.0,0.0,3.666,2.018,3.365,0.0485,-0.0707,1.0067,93.36,-1.68,-100.27,0.0283,0.0528,1.0105,30.29,0.16,1.13
0.66,0.0,0.0,0.0,4.0,2.121,3.464,-0.0007,-0.0196,0.9922,105.95,0.19,24.01,0.0436,0.0676,0.9964,27.89,0.35,-0.24
0.67,0.0,0.0,0.0,4.325,2.22,3.555,0.0536,-0.0289,0.9992,-7.36,-0.04,250.15,0.0357,0.0803,0.9934,25.72,-0.34,0.77
0.68,0.0,0.0,0.0,4.64,2.313,3.639,0.0904,-0.0286,1.0028,-7.71,0.15,248.01,0.0367,0.0587,0.9876,24.52,0.5,-0.19
0.69,0.0,0.0,0.0,4.945,2.402,3.713,0.123,-0.0102,0.9892,-6.82,-0.52,243.48,0.0266,0.0694,0.9993,24.47,1.48,0.03
0.7,0.0,0.0,0.0,5.239,2.484,3.78,0.1749,-0.0128,0.9957,-5.7,3.08,240.15,0.0177,0.0783,0.9981,23.73,0.7,-0.47
0.71,0.0,0.0,0.0,5.521,2.562,3.838,0.2272,-0.0188,1.0006,-5.4,1.36,232.44,0.0373,0.0982,0.9998,21.2,0.81,-0.18
0.72,0.0,0.0,0.0,5.79,2.633,3.887,0.2507,-0.0369,0.9598,-6.94,-1.24,227.31,0.0439,0.0798,0.9854,20.02,0.29,1.34
0.73,0.0,0.0,0.0,6.046,2.698,3.928,0.3042,-0.0301,0.9433,-4.49,0.23,219.6,0.0326,0.0836,0.9794,18.3,-1.5,0.09
0.74,0.0,0.0,0.0,6.288,2.758,3.959,0.2981,-0.0157,0.9486,-4.86,-0.61,211.76,0.0493,0.0973,1.0014,17.4,-1.04,0.14
0.75,0.0,0.0,0.0,6.517,2.811,3.982,0.3662,-0.0272,0.9406,-4.2,-1.01,199.11,0.0279,0.0893,1.0097,12.28,0.45,-1.45
0.76,0.0,0.0,0.0,6.73,2.858,3.995,0.3903,-0.0061,0.9183,-3.66,-1.34,187.42,0.0244,0.099,0.9844,13.09,-0.01,-0.31
0.77,0.0,0.0,0.0,6.928,2.898,4.0,0.4156,-0.0259,0.9223,-3.33,0.43,175.66,0.0342,0.0839,1.0103,11.57,0.44,-0.24
0.78,0.0,0.0,0.0,7.111,2.931,3.995,0.4464,-0.0285,0.8815,-1.42,-0.68,162.17,0.0341,0.1232,0.9971,7.37,1.68,-0.83
0.79,0.0,0.0,0.0,7.277,2.958,3.982,0.4499,-0.0339,0.8893,-2.12,0.97,150.97,0.0426,0.089,0.9941,5.92,0.73,0.02
0.8,0.0,0.0,0.0,7.427,2.979,3.959,0.4894,-0.0298,0.8644,-2.58,0.99,136.54,0.0271,0.1003,0.9901,4.02,1.26,-0.43
0.81,0.0,0.0,0.0,7.56,2.992,3.928,0.5144,-0.0328,0.8765,-1.27,1.37,119.98,0.0486,0.1038,0.9801,2.2,0.09,0.08
0.82,0.0,0.0,0.0,7.676,2.999,3.887,0.5423,-0.0243,0.8691,-0.11,-0.85,104.95,0.0546,0.1236,1.0038,0.5,-0.81,0.12
0.83,0.0,0.0,0.0,7.774,2.999,3.838,0.5364,-0.0218,0.8325,1.52,0.48,87.39,0.0345,0.0912,0.9862,-0.74,-0.06,-0.96
0.84,0.0,0.0,0.0,7.855,2.992,3.78,0.545,-0.0392,0.8272,1.48,0.63,70.25,0.0474,0.124,0.9862,-2.07,-0.8,-0.4
0.85,0.0,0.0,0.0,7.919,2.979,3.713,0.5571,-0.0444,0.8353,0.61,-0.47,52.74,0.0243,0.111,1.0039,-3.79,1.56,0.08
0.86,0.0,0.0,0.0,7.964,2.958,3.639,0.5776,-0.0491,0.8184,4.53,-0.77,35.22,0.0457,0.1066,0.9753,-7.64,0.79,1.18
0.87,0.0,0.0,0.0,7.991,2.931,3.555,0.5756,-0.0253,0.8192,2.88,1.61,16.26,0.0454,0.0913,0.979,-9.55,0.52,0.26
0.88,0.0,0.0,0.0,8.0,2.898,3.464,0.5683,-0.0409,0.819,4.45,0.23,0.26,0.0435,0.1051,0.9943,-9.27,1.24,-0.66
0.89,0.0,0.0,0.0,7.991,2.858,3.365,0.5774,-0.0508,0.8005,3.58,0.64,-17.85,0.0347,0.0902,0.9976,-11.78,-2.02,0.4
0.9,0.0,0.0,0.0,7.964,2.811,3.258,0.5694,-0.0247,0.8222,4.8,-0.82,-34.79,0.0054,0.1078,0.9997,-14.15,0.59,1.71
0.91,0.0,0.0,0.0,7.919,2.758,3.144,0.5718,-0.0029,0.8199,5.63,-1.22,-52.98,0.0285,0.0828,0.9921,-15.51,-1.31,0.92
0.92,0.0,0.0,0.0,7.855,2.698,3.023,0.5461,-0.027,0.8279,6.52,-0.57,-70.51,0.0286,0.0884,1.0207,-17.72,-0.01,0.55
0.93,0.0,0.0,0.0,7.774,2.633,2.895,0.5383,-0.0175,0.8548,6.86,-0.12,-88.13,0.0251,0.0808,0.9934,-18.81,-0.31,0.73
0.94,0.0,0.0,0.0,7.676,2.562,2.76,0.5236,-0.0241,0.8367,7.15,-1.06,-103.65,0.0361,0.073,0.9936,-21.25,0.66,1.44
0.95,0.0,0.0,0.0,7.56,2.484,2.619,0.4962,-0.0247,0.8676,6.41,-0.01,-118.92,0.0307,0.0865,0.9883,-22.16,0.23,1.08
0.96,0.0,0.0,0.0,7.427,2.402,2.473,0.4945,-0.0133,0.8678,6.59,-1.69,-136.13,0.0267,0.0804,0.9978,-25.38,1.35,0.57
0.97,0.0,0.0,0.0,7.277,2.313,2.32,0.4724,-0.0241,0.8798,7.9,-1.12,-149.54,0.0243,0.0828,1.003,-25.92,-0.6,1.07
0.98,0.0,0.0,0.0,7.111,2.22,2.163,0.4455,-0.0172,0.903,8.89,0.67,-163.28,0.0277,0.0484,1.0092,-27.19,0.71,-1.08
0.99,0.0,0.0,0.0,6.928,2.121,2.0,0.4163,-0.0152,0.9114,8.09,0.6,-177.27,0.0461,0.0722,0.9826,-28.09,0.16,-1.5
1.0,0.0,0.0,0.19,6.73,2.018,1.833,0.3753,-0.0237,0.9266,9.71,-0.39,-189.29,0.0283,0.0816,0.9953,-29.74,-1.64,0.16
1.01,0.0,0.0,0.38,6.517,1.91,1.662,0.3537,-0.0055,0.9433,10.4,-1.02,-199.65,0.0298,0.047,1.0025,-30.36,-0.92,0.07
1.02,0.0,0.0,0.569,6.288,1.798,1.487,0.3209,-0.0156,0.9426,8.31,-1.03,-211.18,0.0303,0.0651,1.0042,-32.25,-0.15,-0.54
1.03,0.0,0.0,0.757,6.046,1.682,1.308,0.2806,-0.0198,0.9513,8.63,-0.37,-218.8,0.0383,0.0381,0.9986,-31.0,1.11,0.83
1.04,0.0,0.0,0.943,5.79,1.561,1.127,0.2494,-0.0052,0.9571,9.54,0.64,-228.02,0.0395,0.0215,1.0042,-32.34,0.46,-1.86
1.05,0.0,0.071,1.127,5.521,1.438,0.943,0.2159,-0.0178,0.969,10.17,0.93,-232.88,0.0045,0.0264,0.9909,-34.57,-1.17,-0.53
1.06,0.0,0.214,1.308,5.239,1.311,0.757,0.1901,-0.0068,1.0147,9.48,-0.5,-237.24,0.0451,0.0342,1.0147,-34.2,-0.14,-0.48
1.07,0.0,0.356,1.487,4.945,1.181,0.569,0.1312,-0.0054,1.004,11.48,-1.15,-244.84,0.0493,0.0095,1.0092,-33.42,2.02,-1.64
1.08,0.0,0.497,1.662,4.64,1.048,0.38,0.0894,0.0073,0.9827,10.63,0.27,-246.61,0.0244,0.0059,0.9859,-34.57,0.11,1.49
1.09,0.0,0.638,1.833,4.325,0.913,0.19,0.0428,0.003,0.9858,10.3,-0.82,-149.78,0.0252,0.0119,0.9886,-34.89,-0.33,-1.36
1.1,0.0,0.776,2.0,4.0,0.776,0.0,0.0157,-0.0003,1.0042,20.83,-0.52,-23.8,0.0304,0.0,0.9889,-34.33,0.49,-0.59
1.11,0.381,0.913,2.163,3.666,0.638,0.0,0.0346,0.0142,1.0048,32.88,1.33,-1.27,0.0273,-0.0001,1.0062,-33.85,0.76,0.91
1.12,0.76,1.048,2.32,3.323,0.497,0.0,0.0355,0.0258,1.0048,34.31,0.83,0.48,0.0371,-0.0096,0.9865,-35.47,-0.46,0.65
1.13,1.139,1.181,2.473,2.973,0.356,0.0,0.0595,0.0234,0.9967,31.62,0.16,-0.87,0.0154,-0.0131,0.9959,-33.2,0.5,-1.11
1.14,1.514,1.311,2.619,2.617,0.214,0.0,0.033,0.0238,0.9979,34.38,-1.27,-0.21,0.0237,-0.028,1.0037,-34.16,-0.33,0.68
1.15,1.886,1.438,2.76,2.254,0.071,0.0,0.0379,0.0164,1.0022,32.71,0.21,-1.03,0.0503,-0.0272,0.9983,-32.88,0.72,0.29
1.16,2.254,1.561,2.895,1.886,0.0,0.0,0.0346,0.0245,0.9996,35.5,1.06,0.82,0.0256,-0.0445,1.0014,-32.3,0.17,2.33
1.17,2.617,1.682,3.023,1.514,0.0,0.0,0.0232,0.0377,0.9764,33.86,-0.38,-0.84,0.0473,-0.0279,0.9879,-32.08,0.48,0.4
1.18,2.973,1.798,3.144,1.139,0.0,0.0,0.0463,0.0401,0.996,30.56,1.35,0.55,0.0385,-0.0525,1.0043,-31.76,-0.76,-0.14
1.19,3.323,1.91,3.258,0.76,0.0,0.0,0.0424,0.0496,0.9896,29.72,1.29,-0.34,0.0168,-0.0402,0.9919,-30.11,-0.82,-0.86
1.2,3.666,2.018,3.365,0.381,0.0,0.0,0.0428,0.0572,0.9995,29.81,1.66,-0.11,0.0413,-0.0589,0.9945,-27.19,0.95,-0.74
1.21,4.0,2.121,3.464,0.0,0.0,0.0,0.0258,0.0668,1.0274,29.41,0.31,0.15,0.0337,-0.0595,0.9999,103.86,-0.08,24.02
1.22,4.325,2.22,3.555,0.0,0.0,0.0,0.0489,0.0655,1.0009,24.88,0.59,-0.76,0.039,-0.0248,0.9999,117.17,0.29,150.42
1.23,4.64,2.313,3.639,0.0,0.0,0.0,0.0209,0.0756,0.9938,23.45,1.41,0.21,0.0893,-0.0314,0.9962,-7.83,-0.31,247.16
1.24,4.945,2.402,3.713,0.0,0.0,0.0,0.0408,0.0757,1.0058,23.25,0.45,1.53,0.1342,-0.04,0.9838,-7.13,0.9,244.55
1.25,5.239,2.484,3.78,0.0,0.0,0.0,0.0568,0.0593,1.0011,23.01,-0.5,-0.78,0.1783,-0.0343,0.982,-7.82,-0.61,241.09
1.26,5.521,2.562,3.838,0.0,0.0,0.0,0.025,0.0734,1.0002,21.41,-0.45,1.17,0.2236,-0.0281,0.977,-7.05,-0.14,231.59
1.27,5.79,2.633,3.887,0.0,0.0,0.0,0.0292,0.0849,1.0017,20.4,0.24,1.5,0.2551,-0.0238,0.9539,-6.3,0.79,228.4
1.28,6.046,2.698,3.928,0.0,0.0,0.0,0.0359,0.0775,1.0159,16.49,-1.29,-0.82,0.2748,-0.0168,0.9525,-6.35,1.17,219.2
1.29,6.288,2.758,3.959,0.0,0.0,0.0,0.0299,0.0985,0.9838,13.67,-0.14,-1.46,0.3196,-0.0322,0.9495,-5.0,-0.52,210.49
1.3,6.517,2.811,3.982,0.0,0.0,0.0,0.0194,0.1104,0.9996,15.09,1.1,0.3,0.3874,-0.0374,0.9206,-4.68,1.96,199.06
1.31,6.73,2.858,3.995,0.0,0.0,0.0,0.0356,0.1096,0.9854,11.6,-2.19,-0.55,0.3967,-0.0437,0.9322,-1.88,0.31,187.95
1.32,6.928,2.898,4.0,0.0,0.0,0.0,0.0243,0.0973,1.0,8.57,1.53,1.87,0.4423,-0.0251,0.9204,-4.34,-1.04,177.04
1.33,7.111,2.931,3.995,0.0,0.0,0.0,0.0396,0.116,0.9851,8.85,1.12,0.03,0.4594,-0.0165,0.8824,-2.51,0.37,165.89
1.34,7.277,2.958,3.982,0.0,0.0,0.0,0.0257,0.1039,0.99,7.6,-0.46,-0.8,0.4722,-0.0181,0.896,-1.79,-0.38,150.64
1.35,7.427,2.979,3.959,0.0,0.0,0.0,0.0504,0.1001,0.9911,4.75,0.54,-1.15,0.4946,-0.024,0.869,-2.53,0.43,136.26
1.36,7.56,2.992,3.928,0.0,0.0,0.0,0.0271,0.098,1.0037,2.47,0.0,1.09,0.5105,-0.0249,0.8634,-0.19,-0.04,119.47
1.37,7.676,2.999,3.887,0.0,0.0,0.0,0.0317,0.1015,1.0031,0.82,1.23,-0.57,0.5101,-0.0144,0.8442,-0.69,0.07,103.12
1.38,7.774,2.999,3.838,0.0,0.0,0.0,0.043,0.1006,0.9815,-1.35,0.98,0.04,0.5418,-0.0281,0.8494,-2.2,-0.91,86.48
1.39,7.855,2.992,3.78,0.0,0.0,0.0,0.0226,0.1059,0.9945,-4.28,-1.4,0.96,0.5652,-0.0248,0.8367,1.54,0.99,69.86
1.4,7.919,2.979,3.713,0.0,0.0,0.0,0.0372,0.1051,0.9869,-5.59,0.59,-0.48,0.5561,-0.0343,0.8185,0.35,-1.16,51.02
1.41,7.964,2.958,3.639,0.0,0.0,0.0,0.048,0.1025,0.9815,-6.28,-0.21,-0.05,0.5726,-0.0444,0.8107,0.99,-1.11,34.81
1.42,7.991,2.931,3.555,0.0,0.0,0.0,0.0188,0.1055,0.9921,-8.39,0.08,-0.02,0.5808,-0.0372,0.8051,3.3,0.37,17.25
1.43,8.0,2.898,3.464,0.0,0.0,0.0,0.0367,0.1113,0.9914,-10.42,-0.73,0.68,0.5645,-0.03,0.8207,2.83,1.6,-0.18
1.44,7.991,2.858,3.365,0.0,0.0,0.0,0.0375,0.1069,1.0189,-13.42,1.75,0.59,0.5678,-0.0287,0.8254,4.65,-0.35,-17.68
1.45,7.964,2.811,3.258,0.0,0.0,0.0,0.0427,0.0803,0.9992,-14.41,1.04,-0.22,0.5583,-0.0093,0.8289,5.48,0.7,-35.17
1.46,7.919,2.758,3.144,0.0,0.0,0.0,0.0225,0.0669,0.9813,-18.16,-0.74,0.06,0.5539,-0.027,0.8256,4.15,1.07,-53.09
1.47,7.855,2.698,3.023,0.0,0.0,0.0,0.0217,0.0989,0.9897,-17.51,-1.33,-0.37,0.5403,-0.0151,0.8212,6.1,0.81,-70.93
1.48,7.774,2.633,2.895,0.0,0.0,0.0,0.0401,0.0727,1.0059,-17.91,-0.39,-1.48,0.5326,-0.0303,0.8335,5.04,-0.31,-89.22
1.49,7.676,2.562,2.76,0.0,0.0,0.0,0.0379,0.0806,1.0168,-22.39,0.43,0.26,0.5417,-0.028,0.8608,8.51,-1.09,-104.3
1.5,7.56,2.484,2.619,0.0,0.0,0.0,0.0374,0.0674,0.9804,-23.02,0.24,1.89,0.5017,-0.037,0.8546,6.04,-2.21,-120.63
1.51,7.427,2.402,2.473,0.0,0.0,0.0,0.0384,0.057,0.9778,-23.54,1.25,-0.88,0.4928,-0.03,0.8721,8.19,-0.26,-134.52
1.52,7.277,2.313,2.32,0.0,0.0,0.0,0.0281,0.0762,1.0156,-23.98,0.79,-0.77,0.4647,-0.016,0.8718,8.41,1.18,-148.72
1.53,7.111,2.22,2.163,0.0,0.0,0.0,0.0372,0.0738,1.0011,-26.97,0.97,-0.87,0.4572,-0.0198,0.8985,8.27,-1.12,-162.57
1.54,6.928,2.121,2.0,0.0,0.0,0.0,0.0378,0.0557,0.9888,-28.4,0.33,0.72,0.4318,-0.009,0.9034,7.64,0.7,-175.8
1.55,6.73,2.018,1.833,0.0,0.0,0.19,0.0278,0.0307,1.0031,-30.78,-1.39,0.45,0.3981,-0.0152,0.9314,8.49,-0.95,-188.83
1.56,6.517,1.91,1.662,0.0,0.0,0.38,0.0536,0.046,0.9717,-29.72,-0.2,-0.16,0.361,-0.019,0.9414,6.79,0.11,-200.41
1.57,6.288,1.798,1.487,0.0,0.0,0.569,0.0396,0.0501,0.9984,-28.7,1.06,-0.92,0.322,0.0076,0.9409,9.45,0.71,-210.8
1.58,6.046,1.682,1.308,0.0,0.0,0.757,0.023,0.026,1.0018,-31.27,-0.05,0.09,0.2767,-0.0132,0.9561,9.82,-0.66,-220.65
1.59,5.79,1.561,1.127,0.0,0.0,0.943,0.0415,0.037,1.008,-32.28,0.5,-1.56,0.2705,0.0011,0.9624,9.81,0.17,-226.13
1.6,5.521,1.438,0.943,0.0,0.071,1.127,0.0252,0.0293,0.9888,-32.54,-0.32,0.14,0.2043,-0.0129,0.9631,6.89,-0.42,-234.12
